AOA,CD
-179.8846639,0.027106986
-172.046615,0.050267649
-166.5273022,0.092634308
-161.7600769,0.158069856
-156.9880459,0.227351608
-152.2112092,0.300479566
-149.0106325,0.362052222
-144.2193789,0.446718795
-140.9947738,0.527522477
-136.9892473,0.608334501
-132.9789151,0.692992731
-128.9685829,0.777650961
-124.9438337,0.873847807
-120.9335015,0.958506037
-116.1566649,1.031633995
-112.155944,1.108599814
-107.383913,1.177881567
-102.6311047,1.231778499
-97.11179191,1.274145158
-92.40223464,1.293426243
-88.48801586,1.301160369
-83.81209828,1.293518018
-79.93151919,1.274328708
-75.2892413,1.23976292
-69.11876014,1.178290383
-64.5341503,1.097570133
-60.70643359,1.036072566
-56.13143509,0.947659905
-52.34696942,0.851546492
-47.00546645,0.751603559
-42.44969063,0.647806078
-37.90352616,0.536316186
-34.11425482,0.444048978
-25.73556797,0.274907724
-21.13654112,0.20572609
-15.75659278,0.136552799
-14.80747282,0.271178324
-11.77990028,0.194287593
-9.557277588,0.098157493
-8.877275185,0.017395527
-7.339460563,-0.001818813
0.484171322,0.009803234
6.736348892,0.013716185
10.66017901,0.029142722
13.04138884,0.059937393
14.66089986,0.106108541
16.2611882,0.136894869
21.80452934,0.198492555
28.18646002,0.306253045
34.58761338,0.429398357
40.20303959,0.54868912
45.81366012,0.664133678
51.42428065,0.779578236
57.05892954,0.91425382
64.23619871,1.033561269
69.83720791,1.141313416
74.59962756,1.202902759
80.13335736,1.256808033
84.07160449,1.283773186
88.7763561,1.299208066
93.46188502,1.299258125
98.91391842,1.287777911
103.5561963,1.253212124
108.1888629,1.210953926
112.8023067,1.153310907
116.6300234,1.09181334
121.9811377,0.999562817
126.5513306,0.907303952
129.5644861,0.818874605
134.1298733,0.722769535
138.6952604,0.626664464
144.012735,0.507490505
149.325404,0.384470342
154.6765183,0.292219819
161.5558359,0.173062547
166.9261729,0.096196846
173.1110711,0.046262924
178.5582988,0.030936505
181.6819847,0.030969878
