AOA,CL
-180,-0.012455516
-176.8351648,0.263345196
-172.8791209,0.556939502
-170.5054945,0.788256228
-168.1318681,0.992882562
-164.1758242,1.1886121
-163.3846154,1.108540925
-161.8021978,0.992882562
-157.8461538,0.886120996
-152.3076923,0.797153025
-144.3956044,0.699288256
-135.6923077,0.628113879
-124.6153846,0.521352313
-117.4945055,0.441281139
-111.956044,0.352313167
-104.8351648,0.236654804
-96.92307692,0.112099644
-88.21978022,-0.03024911
-79.51648352,-0.163701068
-72.3956044,-0.279359431
-64.48351648,-0.403914591
-55.78021978,-0.519572954
-47.07692308,-0.617437722
-37.58241758,-0.697508897
-28.87912088,-0.786476868
-21.75824176,-0.893238434
-17.01098901,-0.991103203
-15.42857143,-1.151245552
-15.42857143,-1.275800712
-14.63736264,-1.080071174
-15.42857143,-0.884341637
-13.84615385,-0.724199288
-10.68131868,-0.56405694
-6.725274725,-0.395017794
-5.142857143,-0.145907473
-2.769230769,0.103202847
-1.186813187,0.334519573
1.186813187,0.539145907
2.769230769,0.761565836
5.142857143,1.001779359
8.307692308,1.322064057
11.47252747,1.535587189
14.63736264,1.660142349
17.01098901,1.473309609
20.17582418,1.322064057
25.71428571,1.179715302
33.62637363,1.046263345
42.32967033,0.930604982
54.1978022,0.770462633
62.9010989,0.610320285
71.6043956,0.414590747
81.89010989,0.174377224
89.8021978,-0.012455516
100.0879121,-0.172597865
110.3736264,-0.332740214
123.032967,-0.501779359
136.4835165,-0.644128114
147.5604396,-0.75088968
153.0989011,-0.81316726
158.6373626,-0.902135231
162.5934066,-1
164.967033,-1.115658363
164.967033,-1.169039146
166.5494505,-1.044483986
168.9230769,-0.893238434
170.5054945,-0.724199288
172.0879121,-0.599644128
174.4615385,-0.439501779
176.8351648,-0.252669039
180,-0.003558719
