AOA	CL	CD
-180	-0.012455516	0.026766179
-179	0.074689847	0.029721081
-178	0.16183521	0.032675982
-177	0.248980573	0.035630884
-176	0.325326214	0.038585785
-175	0.399540332	0.041540687
-174	0.473754449	0.044495589
-173	0.547968566	0.04745049
-172	0.642612365	0.050625469
-171	0.740065243	0.058301544
-170	0.831834057	0.065977619
-169	0.918042373	0.073653694
-168	0.999406878	0.081329769
-167	1.048882957	0.089005844
-166	1.098359035	0.099872126
-165	1.147835114	0.113598255
-164	1.170818503	0.127324383
-163	1.080429517	0.141050512
-162	1.007339857	0.154776641
-161	0.971233689	0.169104876
-160	0.944246738	0.183623171
-159	0.917259787	0.198141466
-158	0.890272836	0.21265976
-157	0.872528668	0.227178055
-156	0.856465006	0.242477471
-155	0.840401345	0.257786338
-154	0.824337683	0.273095205
-153	0.808274022	0.288404073
-152	0.793347173	0.304542806
-151	0.780978154	0.323780794
-150	0.768609134	0.343018782
-149	0.756240115	0.36224011
-148	0.743871095	0.379911179
-147	0.731502076	0.397582248
-146	0.719133056	0.415253317
-145	0.706764037	0.432924386
-144	0.696053057	0.452216095
-143	0.687875193	0.477274569
-142	0.679697329	0.502333043
-141	0.671519465	0.527391516
-140	0.663341601	0.547592169
-139	0.655163737	0.567767301
-138	0.646985873	0.587942432
-137	0.638808009	0.608117564
-136	0.630630145	0.62921754
-135	0.621441281	0.65032757
-134	0.611803084	0.671437599
-133	0.602164887	0.692547628
-132	0.59252669	0.713657657
-131	0.582888493	0.734767687
-130	0.573250297	0.755877716
-129	0.5636121	0.776987745
-128	0.553973903	0.800801377
-127	0.544335706	0.824702704
-126	0.534697509	0.848604031
-125	0.525059312	0.872505358
-124	0.514432582	0.893772164
-123	0.503188019	0.914882193
-122	0.491943456	0.935992222
-121	0.480698893	0.957102252
-120	0.46945433	0.972796888
-119	0.458209767	0.988105755
-118	0.446965204	1.003414622
-117	0.43333757	1.01872349
-116	0.417273908	1.034647912
-115	0.401210246	1.0538859
-114	0.385146585	1.073123888
-113	0.369082923	1.092361875
-112	0.353019261	1.110863855
-111	0.33678496	1.12538215
-110	0.320542814	1.139900445
-109	0.304300667	1.154418739
-108	0.288058521	1.168937034
-107	0.271816374	1.182235147
-106	0.255574228	1.193575165
-105	0.239332081	1.204915183
-104	0.223507315	1.216255202
-103	0.207764927	1.22759522
-102	0.192022539	1.236622906
-101	0.17628015	1.244298981
-100	0.160537762	1.251975056
-99	0.144795374	1.259651131
-98	0.129052985	1.267327206
-97	0.113310597	1.274602838
-96	0.097002049	1.278696871
-95	0.080646321	1.282790905
-94	0.064290593	1.286884938
