Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51
0.0,100000.0,200000.0,300000.0,400000.0,500000.0,600000.0,700000.0,800000.0,900000.0,1.0e6,1.1e6,1.2e6,1.3e6,1.4e6,1.5e6,1.6e6,1.7e6,1.8e6,1.9e6,2.0e6,2.1e6,2.2e6,2.3e6,2.4e6,2.5e6,2.6e6,2.7e6,2.8e6,2.9e6,3.0e6,3.1e6,3.2e6,3.3e6,3.4e6,3.5e6,3.6e6,3.7e6,3.8e6,3.9e6,4.0e6,4.1e6,4.2e6,4.3e6,4.4e6,4.5e6,4.6e6,4.7e6,4.8e6,4.9e6,5.0e6
-20.0,-0.8511525019359298,-0.5739277736886331,-0.5773885572257486,-0.585755851801869,-0.8559233157527935,-0.5802243950831408,-0.5881891789853079,-0.8605928880274816,-0.8576899243892833,-0.5891292549762146,-0.8603001803457033,-0.5842687795138138,-0.5871152590456972,-0.5906595041475501,-5.761046174389949,-1.1384095340709475,-1.0063906470630328,-1.041170610164979,-1.0304644520503636,-0.9822236469353163,-1.021267725028115,-1.0417297517600002,-1.0545982181065994,-1.0669765952534818,-1.0738273348711982,-1.0776424615124582,-1.0778001080238788,-1.0724927190029492,-1.0766431134382477,-1.0933633199094719,-1.109024946706661,-1.131071659434672,-1.1636065337437005,-1.2294838996728232,-1.3638154266576727,-1.429078477255489,-1.4681936801176856,-1.4967567373823987,-1.518550678762677,-1.535204665007707,-1.5485395310301386,-1.5564499146115,-1.563404973981844,-1.568250459517964,-1.5708257569267945,-1.5720798978981207,-1.5720218125183127,-1.5704998111956758,-1.571850486952589,-1.5902968348629043
-19.0,-0.8188632766231316,-0.5610841991057038,-0.5696924064044987,-0.5644095480523181,-0.5656538628613623,-0.576194186837614,-0.5685422021479524,-0.5756735923010968,-0.8295104334107688,-0.5715862329299132,-1.0525348039760414,-1.0706960113284234,-0.9285960224970182,-0.9914165830940286,-0.890886047942117,-1.019090587748088,-1.0467383505891155,-1.0691467668843786,-1.0918311495029882,-1.1187166130404633,-1.151813130922913,-1.1918727702331224,-1.22048391758116,-1.2289649807207312,-1.2264957153404838,-1.2167844619377348,-1.2338778686455527,-1.3758633329295706,-1.4508334064360338,-1.4927414807415114,-1.5222314686545422,-1.5455341413480002,-1.5650096891235439,-1.5819181678271725,-1.5962637961814237,-1.6087784679592116,-1.6197734402666146,-1.6291396288499342,-1.637148366505457,-1.6443672267080434,-1.6502435463432723,-1.6552024693391751,-1.6594706736620148,-1.6627909515094066,-1.6654147356056908,-1.6674961481601778,-1.6689875726794556,-1.6698011730360052,-1.6698085690933593,-1.6688450440008813
-18.0,-0.7878164252673654,-0.5521659740012889,-0.5508668057629778,-0.7929766730050859,-0.5558681725641307,-0.5556612594316716,-0.5673798530411995,-0.5579933101565124,-0.7973627345737366,-0.5702241990014832,-0.90033018678024,-1.044096863394687,-1.1024799884069352,-1.0982544269190873,-1.1168007480361914,-1.1592646314020087,-1.203958919290709,-1.2609605461080724,-1.3282500453744064,-1.3810140667904383,-1.4038151638691616,-1.4065571521883902,-1.3971065129294198,-1.4015076333130863,-1.4572440964011706,-1.494264352665334,-1.5216217159383099,-1.542905269914147,-1.5604154662498195,-1.5755374222168106,-1.5887713261590493,-1.600500338886462,-1.6109233501890707,-1.6204487124464486,-1.6292192855035106,-1.637049362092308,-1.6443337931366127,-1.6508465122492388,-1.6569563816021966,-1.662367692445816,-1.667433716635724,-1.6720448602065074,-1.676112310684638,-1.679905663867221,-1.6833245380965776,-1.6863630711514153,-1.6890093308308047,-1.6913989582463744,-1.6935864013104398,-1.6955844327823997
-17.0,-0.757366239700926,-0.5519078479175645,-0.7621200108528952,-0.766247099953011,-0.5602471109254817,-0.7674125717098058,-0.5476545494116667,-1.0132303901069806,-1.0287013029677141,-1.0827527015909106,-1.1408803750679843,-1.2096474767994454,-1.2242034437244558,-1.23059544954747,-1.291837219794181,-1.3424287953589582,-1.386367625910884,-1.4237570780291593,-1.4540259426892947,-1.476130599067385,-1.4894554392679618,-1.493915150733686,-1.4901098513944464,-1.4858782814396523,-1.5073106434681027,-1.5254856643085974,-1.5413377555432257,-1.5551136477719572,-1.567086228025037,-1.5777161524461993,-1.5872554308710334,-1.5960483579657745,-1.603995031659707,-1.611215464636614,-1.6178880365315629,-1.6241652050536912,-1.6299386778884737,-1.6354959613329245,-1.6406438158046937,-1.64535025862664,-1.6497764425477517,-1.6539320119489243,-1.6577388956655734,-1.6612919067504865,-1.6646860452771652,-1.6678905729207258,-1.6708679854978308,-1.6735917462442285,-1.676088229952219,-1.6784076309006082
-16.0,-0.7292590132309792,-0.7439124821820742,-0.7366125734235219,-0.7515974089073179,-0.5385279222594054,-1.3667487046929283,-1.0027572425969689,-1.1415102513841555,-1.1576693178475328,-1.2103050704433598,-1.2667673050704418,-1.3149827230157778,-1.3154718204167606,-1.335136021310934,-1.3737821615846388,-1.403428227008306,-1.4284779702648935,-1.450367530894826,-1.4694468504431195,-1.486276738323555,-1.4999730072654545,-1.5104200473117495,-1.5173127570819487,-1.5204191886625062,-1.5196794211910232,-1.5144302606139117,-1.52624338791914,-1.5367088643529332,-1.5461975515769786,-1.5547486504532055,-1.562399930224963,-1.569300929147475,-1.5757073012174316,-1.5814856984929888,-1.5868120353102297,-1.5917291583934439,-1.596265323816748,-1.6004542986085868,-1.604362958442042,-1.60795075254935,-1.6112267344277775,-1.6142707657861606,-1.6171068744390842,-1.6197801808415593,-1.6222938633851904,-1.6246405523871401,-1.6268096404335126,-1.628754804857272,-1.6305490967450573,-1.6322295419431236
-15.0,-0.7045156065020881,-0.7232191746411072,-0.7168525809146185,-0.71717082054786,-0.9447792334766582,-1.0844408985057756,-1.139691262550821,-1.2164383543871808,-1.2287286080272966,-1.2708697853475595,-1.308702140650958,-1.3442452103327738,-1.3653806912603499,-1.3553608069871768,-1.380888930831986,-1.4041321963706204,-1.4229412720096837,-1.4388261255314367,-1.4525561075767655,-1.4646943019527179,-1.475290150367899,-1.4845998247707213,-1.4923606262404698,-1.4986502744901853,-1.5036475019388593,-1.5073220535462686,-1.5097169403476143,-1.510878190731158,-1.5107613887222147,-1.5099403491982344,-1.514710492486543,-1.518966953056029,-1.522816033258271,-1.5263153916313714,-1.5295128755280332,-1.5324484347209857,-1.5351555960512835,-1.5376600385371237,-1.5399889359095145,-1.5421618020950185,-1.5441955885140453,-1.5461043000967953,-1.5479011657315673,-1.549598037117256,-1.551203980305094,-1.5527272656598343,-1.5541749085429128,-1.555553270184062,-1.5568679977069229,-1.558124076079521
-14.0,-0.6971245192131077,-0.5603988814262985,-0.7020239692069769,-0.9376524192933423,-1.0607046396138942,-1.15852261735098,-1.1904585632669782,-1.2381207211974672,-1.2541436959276706,-1.2804667001587053,-1.3083432524407688,-1.3330545999408323,-1.3549020998114354,-1.3708221856519174,-1.3761424031534457,-1.3740016202288212,-1.3884538113905458,-1.3992534848372482,-1.4074965040526706,-1.414344215138091,-1.4201839647126517,-1.42525021860427,-1.42972371928108,-1.4337074873569597,-1.43728826132651,-1.440496710825701,-1.4433322417706567,-1.4458660465188635,-1.4481231466461293,-1.4501019122600083,-1.4517922294835282,-1.453209672614199,-1.454354326094892,-1.4552267575110476,-1.4558121212067736,-1.4561129996423945,-1.4560724243715821,-1.4576259785841807,-1.4593839085599154,-1.461033275103441,-1.462584805443816,-1.464047919977198,-1.4654308987941909,-1.4667408268647555,-1.4679833097613852,-1.4691651515972786,-1.4702911815674178,-1.4713657965863491,-1.4723931466164462,-1.4733765678558475
-13.0,-0.686058812638085,-0.5706782593981674,-0.8760706450504111,-1.0348468002214082,-1.125263900383501,-1.1782998322315907,-1.1995866599628693,-1.2281648902878501,-1.2557903058703364,-1.2677668260468518,-1.27786006428865,-1.2929935251111186,-1.3046007122308956,-1.3141862100781694,-1.3222539025480036,-1.3288355419384332,-1.33372764923559,-1.3366574831153415,-1.3363984115796064,-1.3386199912201244,-1.343162669958215,-1.3470694875097444,-1.3504698953794494,-1.353466676647042,-1.3561321955692878,-1.3585274955949966,-1.3607034116819936,-1.3626966451648284,-1.3645314442808514,-1.3662310789814045,-1.3678128589265846,-1.3692868547038655,-1.3706501182279338,-1.3719153657543128,-1.3730972236827743,-1.3742027370856968,-1.3752379829479473,-1.3762069742224663,-1.3770978835681071,-1.3779281150147684,-1.3787007374374194,-1.3794178699914492,-1.3800809064910604,-1.3806823867908335,-1.3812260198490884,-1.3817225651237395,-1.3821760131932448,-1.38258907141765,-1.382961259391287,-1.3832900732265896
-12.0,-0.663339192123146,-0.8530824955536325,-0.9625162421371134,-1.09692450423914,-1.1402328464042988,-1.1560342014247469,-1.1777899233929876,-1.1855723246406913,-1.2008226987926898,-1.2131890926730846,-1.223479958380378,-1.2298581973292937,-1.229757049759783,-1.2372819310940848,-1.2431949121182198,-1.248001421101485,-1.2520731814805168,-1.2556179394901346,-1.258743533381873,-1.2614889572523103,-1.2638436010565441,-1.2658691442402672,-1.26756311572763,-1.2688870543776223,-1.269751542811607,-1.2701086472267953,-1.2707182504591588,-1.27249067369993,-1.274121263891778,-1.2756240361749664,-1.277016853012648,-1.2783146314789522,-1.2795288101741027,-1.2806689745317648,-1.2817430960570744,-1.282758993986101,-1.2837210167840027,-1.2846360639078174,-1.2855092893601623,-1.2863440647228337,-1.2871437192580388,-1.2879108946091118,-1.2886472769883965,-1.2893530753535376,-1.2900272918167166,-1.2906756525095109,-1.2913006605561856,-1.291903822884555,-1.2924864894659245,-1.293049869458166
