alpha,cl
-180.0,0.0
-178.5,0.09123779528053388
-177.0,0.1824755905610662
-175.5,0.2737133858416001
-174.0,0.364951181122134
-172.5,0.45618897640266626
-171.0,0.5474267716832002
-169.5,0.638664566963734
-168.0,0.7299023622442664
-166.5,0.8211401575248002
-165.00000000000003,0.9123779528053325
-163.5,1.0036157480858665
-162.0,1.0948535433664004
-160.50000000000003,1.1860913386469327
-159.0,1.2773291339274666
-154.07142857142858,1.100317220778532
-149.14285714285714,0.9798375284796341
-144.21428571428572,0.8876506333096457
-139.2857142857143,0.8090411911901411
-134.35714285714286,0.7357313385190624
-129.42857142857144,0.6629426049723777
-124.49999999999999,0.5880202394963204
-119.57142857142857,0.509721327564105
-114.64285714285715,0.427810541163951
-109.71428571428572,0.3428077184561285
-104.78571428571429,0.25581388695342966
-99.85714285714286,0.16837934682371908
-94.92857142857143,0.08239532842260613
-90.0,5.683585794842867e-17
-85.07142857142857,-0.08239532842260613
-80.14285714285715,-0.16837934682371883
-75.21428571428571,-0.25581388695342966
-70.28571428571429,-0.34280771845612823
-65.35714285714286,-0.42781054116395073
-60.42857142857143,-0.509721327564105
-55.5,-0.5880202394963205
-50.57142857142858,-0.6629426049723776
-45.642857142857146,-0.7357313385190623
-40.71428571428572,-0.8090411911901407
-35.78571428571429,-0.8876506333096453
-30.857142857142858,-0.9798375284796341
-25.928571428571438,-1.1003172207785312
-21.0,-1.277329133927467
-20.92857142857143,-1.2443537234664257
-20.857142857142858,-1.2113783130053841
-20.78571428571429,-1.1784029025443428
-20.71428571428571,-1.1454274920832999
-20.642857142857142,-1.1124520816222585
-20.571428571428573,-1.079476671161217
-20.5,-1.0465012607001756
-20.42857142857143,-1.0135258502391342
-20.357142857142858,-0.9805504397780928
-20.28571428571429,-0.9475750293170513
-20.21428571428571,-0.9145996188560084
-20.142857142857142,-0.8816242083949669
-20.0,-0.8156733874728841
-19.0,-1.347607019046042
-18.0,-1.3868997429794405
-17.0,-1.313704074368958
-16.0,-1.2164007847663554
-14.999999999999998,-1.1128488108809553
-14.0,-1.0121416439646747
-13.0,-0.9088251668497256
-12.000000000000002,-0.8073287568762122
-11.0,-0.7069178441661607
-10.0,-0.6041159895757259
-9.0,-0.5011033362738573
-7.0,-0.29053216045878866
-6.000000000000001,-0.18508323413687794
-5.0,-0.07906252031336758
-4.0,0.02834414714697869
-3.0000000000000004,0.1364780887028793
-2.0,0.24495402906247868
-1.0,0.3543665573303431
0.0,0.4637849672194877
1.0,0.5735324589684616
2.0,0.6802220818825605
3.0000000000000004,0.7853154219688774
4.0,0.8881674301096755
5.0,1.0224472008437808
6.000000000000001,1.1553538546911182
7.0,1.2255196838482318
8.0,1.298295552566718
9.0,1.3791351759184451
10.0,1.459340643405547
11.0,1.5334655605254666
12.000000000000002,1.593324256376559
13.0,1.6486478053663667
14.0,1.7011226906722638
14.999999999999998,1.7481755258888014
16.0,1.7853513121474687
17.0,1.81619531116869
18.0,1.835409086847654
19.0,1.8448482212937194
20.0,1.8347903118067161
21.0,1.8247559056106675
25.92857142857143,1.5718817439693304
30.857142857142858,1.3997678978280488
35.78571428571429,1.2680723332994934
40.71428571428571,1.1557731302716299
45.642857142857146,1.0510447693129463
50.57142857142858,0.9470608642462537
55.49999999999999,0.8400289135661724
60.42857142857143,0.7281733250915786
65.35714285714285,0.6111579159485014
70.28571428571428,0.4897253120801836
75.21428571428571,0.36544840993347094
80.14285714285715,0.24054192403388405
85.07142857142857,0.11770761203229448
90.0,8.119408278346952e-17
94.92857142857143,-0.08239532842260613
99.85714285714285,-0.16837934682371883
104.78571428571429,-0.25581388695342966
109.71428571428572,-0.3428077184561285
114.64285714285715,-0.427810541163951
119.57142857142857,-0.509721327564105
124.49999999999999,-0.5880202394963204
129.42857142857144,-0.6629426049723777
134.35714285714286,-0.7357313385190624
139.2857142857143,-0.8090411911901411
144.21428571428572,-0.8876506333096457
149.14285714285714,-0.9798375284796341
154.07142857142856,-1.1003172207785312
159.0,-1.2773291339274677
160.50000000000003,-1.1860913386469327
162.0,-1.0948535433664004
163.5,-1.0036157480858665
165.00000000000003,-0.9123779528053325
166.5,-0.8211401575248002
168.0,-0.7299023622442664
169.5,-0.638664566963734
171.0,-0.5474267716832002
172.5,-0.45618897640266626
174.0,-0.364951181122134
175.5,-0.2737133858416001
177.0,-0.1824755905610662
178.5,-0.09123779528053388
180.0,0.0
