alpha,cm
-180.0,0.0
-178.57142857142856,0.05714285714285779
-177.14285714285714,0.11428571428571445
-175.71428571428572,0.1714285714285711
-174.28571428571428,0.2285714285714289
-172.85714285714286,0.28571428571428553
-171.42857142857142,0.34285714285714336
-170.0,0.4
-168.57142857142858,0.44936187058985294
-167.14285714285714,0.49872374117970686
-165.7142857142857,0.5480856117695607
-164.28571428571428,0.5974474823594137
-162.85714285714283,0.6468093529492676
-161.42857142857144,0.6961712235391195
-160.0,0.7455330941289734
-155.0,0.629133242987699
-150.0,0.5127333918464245
-145.0,0.4787432054133373
-140.0,0.4447530189802501
-135.0,0.4375936896983261
-130.0,0.4304343604164022
-125.00000000000001,0.43305404503949657
-119.99999999999999,0.435673729662591
-115.0,0.4397697038718753
-110.0,0.4438656780811596
-105.0,0.44433285543258966
-100.0,0.4448000327840197
-95.0,0.438497284447499
-90.0,0.4321945361109784
-85.0,0.41467197470513995
-80.0,0.3971494132993014
-75.0,0.3748272244733107
-70.0,0.35250503564731994
-65.0,0.3284785356679897
-60.00000000000001,0.30445203568865953
-55.0,0.2812335276809559
-50.0,0.25801501967325224
-45.0,0.23627386112572196
-40.0,0.2145327025781917
-35.0,0.18966800956620394
-30.000000000000004,0.16480331655421615
-24.999999999999996,0.10898937447726906
-20.0,0.053175432400322055
-19.928571428571427,0.044996269764452874
-19.857142857142858,0.036817107128584096
-19.785714285714285,0.028637944492714916
-19.714285714285715,0.020458781856846138
-19.642857142857146,0.012279619220977367
-19.571428571428573,0.0041004565851081795
-19.500000000000004,-0.0040787060507605916
-19.428571428571427,-0.012257868686630181
-19.357142857142858,-0.02043703132249896
-19.285714285714285,-0.02861619395836814
-19.214285714285715,-0.03679535659423692
-19.142857142857142,-0.0449745192301061
-19.0,-0.06133284450184405
-18.0,-0.09655962478344073
-17.0,-0.1082942551819956
-16.0,-0.11147586570976525
-14.999999999999998,-0.11221180861123005
-14.0,-0.1155275943279831
-13.0,-0.11542277782200802
-12.000000000000002,-0.11396420292628949
-11.0,-0.11266271011205095
-10.0,-0.11079752271026683
-9.0,-0.1089553914590749
-8.0,-0.1071185608139161
-7.0,-0.1053277787031327
-6.000000000000001,-0.10345603666711221
-5.0,-0.10175954394476472
-4.0,-0.10028178774909727
-3.0000000000000004,-0.09887285065731928
-2.0,-0.09765949830887205
-1.0,-0.09662870242534191
0.0,-0.09570970906310892
1.0,-0.09481078977025308
2.0,-0.09348482200964409
3.0000000000000004,-0.09175867049946247
4.0,-0.09560866082298307
5.0,-0.10301824598614605
6.000000000000001,-0.09995378946758453
7.0,-0.09256638161628546
8.0,-0.08473181058765364
9.0,-0.07872967750878888
10.0,-0.07369821792934875
11.0,-0.068565609263123
12.000000000000002,-0.0618993924227904
13.0,-0.05465230481852602
14.0,-0.04849457736945694
14.999999999999998,-0.043360812742990466
16.0,-0.03904852706030806
17.0,-0.03563766671295721
18.0,-0.03370429678386281
19.0,-0.03276426489641567
20.0,0.0
25.0,-0.0942913502500525
29.999999999999996,-0.18858270050010492
35.0,-0.2177115263443026
40.0,-0.2468403521885002
45.0,-0.26699232359407543
49.99999999999999,-0.28714429499965066
55.0,-0.30608545433876166
59.99999999999999,-0.32502661367787267
65.0,-0.34410006871788434
70.0,-0.363173523757896
75.0,-0.38162486927120565
80.0,-0.4000762147845152
85.0,-0.4161353754477468
90.0,-0.4321945361109784
95.0,-0.438497284447499
100.0,-0.4448000327840197
105.0,-0.44433285543258966
110.0,-0.4438656780811596
115.0,-0.4397697038718753
119.99999999999999,-0.435673729662591
125.00000000000001,-0.43305404503949657
130.0,-0.4304343604164022
135.0,-0.4375936896983261
140.0,-0.4447530189802501
145.0,-0.4787432054133373
149.99999999999997,-0.5127333918464243
155.0,-0.6291332429876989
160.0,-0.7455330941289733
161.42857142857144,-0.7104569378248339
162.85714285714286,-0.6753807815206951
164.28571428571428,-0.6403046252165564
165.7142857142857,-0.6052284689124177
167.14285714285714,-0.5701523126082781
168.57142857142858,-0.5350761563041387
170.0,-0.5
171.42857142857142,-0.42857142857142916
172.85714285714286,-0.35714285714285693
174.28571428571428,-0.28571428571428614
175.71428571428572,-0.21428571428571386
177.14285714285714,-0.14285714285714302
178.57142857142856,-0.07142857142857223
180.0,0.0
