Airfoil,Re,Mach,Panels,Ncrit,Degrees,xy file,Cl file,Cd file,Cm file,xupsep file,xlosep file,Differentiator
NACA 4415,100000.0,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re100000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re100000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re100000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,200000.0,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re200000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re200000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re200000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,300000.0,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re300000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re300000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re300000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,400000.0,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re400000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re400000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re400000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,500000.0,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re500000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re500000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re500000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,600000.0,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re600000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re600000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re600000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,700000.0,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re700000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re700000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re700000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,800000.0,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re800000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re800000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re800000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,900000.0,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re900000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re900000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re900000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,1.0e6,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re1000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re1000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re1000000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,2.0e6,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re2000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re2000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re2000000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,3.0e6,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re3000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re3000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re3000000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,4.0e6,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re4000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re4000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re4000000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,5.0e6,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re5000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re5000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re5000000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,6.0e6,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re6000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re6000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re6000000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,7.0e6,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re7000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re7000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re7000000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,8.0e6,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re8000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re8000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re8000000-ma0p0-ncrit9p0-0.csv, , ,0
NACA 4415,9.0e6,0.0,160,9.0,true,NACA4415-npanels160-0.csv,NACA4415-Cl-re9000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cd-re9000000-ma0p0-ncrit9p0-0.csv,NACA4415-Cm-re9000000-ma0p0-ncrit9p0-0.csv, , ,0
