Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51
0.0,100000.0,200000.0,300000.0,400000.0,500000.0,600000.0,700000.0,800000.0,900000.0,1.0e6,1.1e6,1.2e6,1.3e6,1.4e6,1.5e6,1.6e6,1.7e6,1.8e6,1.9e6,2.0e6,2.1e6,2.2e6,2.3e6,2.4e6,2.5e6,2.6e6,2.7e6,2.8e6,2.9e6,3.0e6,3.1e6,3.2e6,3.3e6,3.4e6,3.5e6,3.6e6,3.7e6,3.8e6,3.9e6,4.0e6,4.1e6,4.2e6,4.3e6,4.4e6,4.5e6,4.6e6,4.7e6,4.8e6,4.9e6,5.0e6
-20.0,-0.501794191495927,-0.6861021074033099,-0.6672402906321113,-0.5371863366582436,-0.4854399030560526,-0.6778121645028498,-0.6846443894044144,-2.675908048025525,-0.4994576759272531,-0.9021014687157616,-0.9088669720847865,-0.9789004112902201,-1.0349132642502639,-1.0797419465409184,-1.1183107229341027,-1.155268821659327,-1.1869237408904274,-1.2078656993875425,-1.2130055814830827,-1.1971900709310095,-1.1917322800877979,-1.2225351434117746,-1.2497774801740191,-1.2740643567823238,-1.2957570189858734,-1.3159769691019365,-1.335414990709489,-1.3521518975681952,-1.36836977445584,-1.383234340183676,-1.3973414865284146,-1.4101166196488186,-1.4231988633755965,-1.434103458900731,-1.4456474985177974,-1.4561227221324302,-1.4655379280013567,-1.475337384506103,-1.4843440688860805,-1.4920922763049704,-1.4997853332643687,-1.5075359385515326,-1.5142679438535633,-1.5199703394436048,-1.5253272426005606,-1.5304273169693714,-1.5353541024934063,-1.5398584287530193,-1.5435191414425118,-1.5465454120229325
-19.0,-0.44926845045649666,-0.6386555704806044,-0.6535588517697285,-0.4620068035619267,-0.4778403130200935,-0.6648984618119469,-0.6568589957820715,-0.7439982699909164,-0.9652809556017696,-1.0568616448792898,-1.027084724365306,-1.0794893650017832,-1.1155168707715952,-1.1471025884004673,-1.1757385275460321,-1.203976542073459,-1.2308533417095877,-1.253537665898037,-1.2700598593596895,-1.2751839513018821,-1.2655554613480837,-1.2512176259959114,-1.2762291515705604,-1.2993395205354124,-1.3199234933133737,-1.3381175144377542,-1.355687071518882,-1.3702895592004234,-1.3847451495570766,-1.3968349697301452,-1.4089905191251708,-1.419970792364931,-1.4299888357478074,-1.440214698536573,-1.449241510370996,-1.4576167243992955,-1.4661641789281243,-1.4743141596101268,-1.4813621350621515,-1.488330112818503,-1.4954288424040547,-1.5020756176176395,-1.507797549117404,-1.513362890591752,-1.5188203204715756,-1.5241774551056895,-1.5291734310869938,-1.5334443864939697,-1.537326980293325,-1.5409905507949142
-18.0,-0.6454823352284426,-0.6378084927461403,-0.619063276218722,-0.46583373316372323,-0.4494671392301708,-0.462617674398511,-0.9021833630234757,-0.9878146035568393,-1.0630663291401081,-1.1153836746787764,-1.0930205211015802,-1.1278993174096916,-1.157996872769321,-1.1838042008344722,-1.2072842412811529,-1.2293192513462203,-1.2513906618765154,-1.271714917075776,-1.2899962392155702,-1.3045203870719633,-1.313051561704712,-1.3133461457645481,-1.3031595685691126,-1.297069889515322,-1.3159986515647704,-1.3328192199687454,-1.3487535359727238,-1.3632491029362424,-1.3768018308826755,-1.3889257143747886,-1.4006631601824329,-1.410647464720238,-1.420460575225905,-1.4295862156134924,-1.4375460020108384,-1.4453616174547024,-1.4530040994921074,-1.459639842028537,-1.4658889511029471,-1.4720628053358766,-1.4782036383174137,-1.4838222212831285,-1.4888960024689788,-1.4938520437064566,-1.4987515819335349,-1.503615430357826,-1.5082100430033547,-1.5122921201360808,-1.5161267951028732,-1.5197919093017218
-17.0,-0.588339142939271,-0.5941375896877447,-0.6215866134529401,-0.42970565568878094,-0.8053196443735859,-0.9682529856689043,-1.0072178731061021,-1.0597689354117639,-1.1034628918066527,-1.1410245327980884,-1.1565734690486218,-1.146382206838322,-1.1740642141918807,-1.1971180501167655,-1.2174725077441586,-1.2363628634301624,-1.254573147003812,-1.2721253074878343,-1.2889262769691305,-1.303943261627107,-1.3171271302595537,-1.3265547044086434,-1.3312842598403831,-1.3311827687171505,-1.3253453271080622,-1.3165713540913633,-1.3303687037246301,-1.3434269068239755,-1.35532653641166,-1.3663137172898887,-1.3769014904216856,-1.3861247498113964,-1.3951024115063304,-1.4035805182389551,-1.4110195155179208,-1.4182425539570178,-1.4252745766529633,-1.4315526340323694,-1.4373530572973539,-1.443028230156405,-1.4486091008232702,-1.4538235584886214,-1.458494729421619,-1.4630038053016323,-1.4674309495617353,-1.471797183927167,-1.4759855095403354,-1.4798288180100272,-1.4833575392430034,-1.4867776277663458
-16.0,-0.5704379413315286,-0.6068858362985172,-0.5873028003046289,-0.767052952959301,-0.9438480177805313,-1.033429089960518,-1.0523803071267346,-1.0907289980582147,-1.1188217919678818,-1.1450187675082037,-1.1678907666752771,-1.1715725193126043,-1.1698329814347097,-1.1921955226221934,-1.2114364994683329,-1.2287142421192727,-1.2446660710012176,-1.2598351342823702,-1.2741868140441392,-1.2877198514603294,-1.3002125394168857,-1.3113929230666383,-1.32085598468835,-1.327297677561702,-1.33104326002253,-1.3319686056056816,-1.3298365681211222,-1.3239862901639872,-1.3265649510529947,-1.3367995396768448,-1.346373343862383,-1.354887283665098,-1.3630621494898123,-1.3705658536429892,-1.3772569759716915,-1.3837182489776936,-1.38990442243875,-1.3954674385314383,-1.4005835046384474,-1.4055256542237644,-1.4103197694169867,-1.4148387482668072,-1.4189345849915345,-1.4228052504875812,-1.4265704379476873,-1.4302539778225614,-1.4338290334068382,-1.437213518448098,-1.4403374682480627,-1.4432935582620479
-15.0,-0.5669192580450393,-0.5689078272706269,-0.770918958166178,-0.9090467818290383,-1.0078970741804916,-1.0568622225798305,-1.0892321881842513,-1.0944103264113614,-1.1150816617800834,-1.1348478693733863,-1.1551694288066723,-1.172223445382491,-1.1733812967195978,-1.1723586062529259,-1.191566833548378,-1.2084730916187487,-1.223211216236537,-1.2367645920007366,-1.2489966031727164,-1.2605500646192864,-1.2710888458173124,-1.2811585055745582,-1.290133180534571,-1.2983208680549643,-1.305082437743061,-1.3100401569242093,-1.313403510502371,-1.3152163342088559,-1.3154794911610395,-1.314054991859072,-1.3105455063519225,-1.3139901219850825,-1.321461104532725,-1.3282748662412736,-1.3344543051374544,-1.340387847867138,-1.345981714451774,-1.3510314889992228,-1.355779037385562,-1.3603545804706672,-1.364720169669142,-1.3687730020489899,-1.372478371472342,-1.3760272572288166,-1.3794638755394453,-1.3827875239628515,-1.385949871382985,-1.3889078200907476,-1.391652161770785,-1.3942954929603297
-14.0,-0.5664114348729237,-0.68850078183124,-0.8875790321873753,-0.9828254286231959,-1.0338355578841372,-1.0541636872982372,-1.0736231601791433,-1.079137203960952,-1.0927249212956271,-1.1099455594074308,-1.1272238530692584,-1.1448993027194627,-1.1602442943189681,-1.1663043728998586,-1.1552137572497236,-1.1729954652894532,-1.1882676686399058,-1.2013177498487722,-1.212901126866947,-1.223052756942554,-1.232430734572384,-1.2409504314455269,-1.248878646854608,-1.2562915043980876,-1.2629395600872757,-1.2690321143581684,-1.2741871367843305,-1.2783139779962374,-1.2814543221735752,-1.2837219468350463,-1.2851629972112066,-1.2858026373193554,-1.285579615891215,-1.2843154889711115,-1.2847271597621885,-1.2901930566196254,-1.2952566188735761,-1.299884354313425,-1.3043148235735342,-1.3085604408060196,-1.3125585216013735,-1.3162499025217396,-1.3197005286607357,-1.3230126950271999,-1.3261972851811206,-1.3292431442174617,-1.3321303600632057,-1.3348304134711788,-1.3373614208449685,-1.339809937223681
-13.0,-0.5517057236136031,-0.9078303213984626,-0.964431450424057,-1.0074891529186054,-1.0257815215922923,-1.0308031601398309,-1.0432551421657081,-1.0586476045256972,-1.0587686565267596,-1.0773436141217223,-1.0941117874335726,-1.1099405176951938,-1.12517949387404,-1.1382178051733023,-1.1453372236037183,-1.1432147308173746,-1.144088871875508,-1.1571092173854594,-1.168190662861986,-1.1778534434170849,-1.1863110602041043,-1.1938961595753135,-1.2008275966416755,-1.2070570212566245,-1.2129136736406954,-1.218417536578923,-1.2234653839158616,-1.228181099776558,-1.232540215009757,-1.2364033518300386,-1.239742223176286,-1.2425263959658448,-1.2448318735353,-1.2466701853911426,-1.2480645733740694,-1.2490112985186803,-1.249473063961922,-1.2493611296598117,-1.2485125868901248,-1.2515739696721448,-1.2554352028659421,-1.2590380507825112,-1.2623846453974328,-1.2655962610486555,-1.2687010511292534,-1.2717215647257105,-1.2746198396611335,-1.2773862403696068,-1.279999921958831,-1.282458313527843
-12.0,-0.8469860850211028,-0.9535160127233332,-0.9813075516393494,-0.9848778648828044,-0.9840905603541182,-0.9899087399145419,-1.0038106174381047,-1.0216205691593874,-1.0367955837105707,-1.0360790662007484,-1.0548200987923682,-1.0703160885679777,-1.0839619762835657,-1.09629205838095,-1.1071644558667768,-1.1151079931346928,-1.1187043027842156,-1.1164922680954443,-1.1203194968047216,-1.1298903597839391,-1.1382200744172335,-1.1456172866996552,-1.1520957424911482,-1.1580512036351849,-1.163548589491119,-1.1685761355614315,-1.1732762290919305,-1.1777916828047723,-1.1821280319716836,-1.1862747203801196,-1.190156265487074,-1.1937472351882503,-1.1971343660022578,-1.200279403856166,-1.2031651765134563,-1.2057691829369515,-1.208071440805977,-1.2100543246180295,-1.2117562502447456,-1.2131901216617607,-1.214366353289197,-1.215266530295934,-1.2158623109753741,-1.216085797100882,-1.2183117424604946,-1.2218255823445188,-1.2252768063150572,-1.2273341474729937,-1.2271994748597015,-1.2270374477870716
